,카테고리,채널명,구독자수,조회수,비디오수
0,음악/댄스/가수,BLACKPINK,"64,100,000","19,018,090,000",371
1,음악/댄스/가수,HYBE LABELS,"60,400,000","18,735,840,000",654
2,음악/댄스/가수,BANGTANTV,"56,500,000","12,212,970,000","1,579"
3,음악/댄스/가수,SMTOWN,"28,500,000","21,895,380,000","3,729"
4,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],"26,500,000","11,052,880,000",223
5,음악/댄스/가수,1MILLION Dance Studio,"24,200,000","6,696,900,000","2,903"
6,음악/댄스/가수,1theK (원더케이),"23,200,000","20,606,650,000","14,986"
7,음악/댄스/가수,JYP Entertainment,"21,600,000","13,733,560,000","1,329"
8,미분류,Coldplay,"19,300,000","12,776,030,000",279
9,음악/댄스/가수,Mnet K-POP,"18,400,000","12,959,490,000","25,425"
10,음악/댄스/가수,JFlaMusic,"17,200,000","3,421,830,000",279
11,TV/방송,KBS WORLD TV,"16,600,000","12,363,320,000","52,390"
12,음악/댄스/가수,officialpsy,"15,000,000","8,626,750,000",90
13,음식/요리/레시피,Jane ASMR 제인,"14,200,000","4,916,810,000","1,190"
14,음악/댄스/가수,BIGBANG,"13,800,000","6,679,980,000",773
15,음악/댄스/가수,TWICE,"11,500,000","2,206,920,000",592
16,키즈/어린이,Nao FunFun,"10,800,000","3,900,000",34
17,음악/댄스/가수,Stone Music Entertainment,"9,980,000","7,865,500,000","7,922"
18,키즈/어린이,DuDuPopTOY,"9,840,000","4,372,250,000","1,745"
19,음식/요리/레시피,Hongyu ASMR 홍유,"9,760,000","2,695,370,000",386
20,키즈/어린이,핑크퐁 (인기 동요・동화),"9,450,000","5,711,860,000","2,227"
21,TV/방송,MBCkpop,"9,420,000","7,363,820,000","40,660"
22,키즈/어린이,서은이야기[SeoeunStory],"9,370,000","3,997,780,000","1,001"
23,키즈/어린이,Larva TUBA,"9,320,000","4,051,140,000","2,866"
24,키즈/어린이,Toymong tv 토이몽TV,"9,270,000","3,824,380,000","1,833"
25,미분류,The Late Show with Stephen Colbert,"8,600,000","7,829,290,000","8,353"
26,뉴스/정치/사회,MBCentertainment,"8,380,000","14,323,880,000","85,431"
27,음악/댄스/가수,Mnet Official,"8,330,000","9,059,870,000","18,130"
28,음악/댄스/가수,iKON,"8,310,000","2,092,170,000",468
29,음악/댄스/가수,EXO,"8,280,000","465,300,000",201
30,미분류,WIRED,"8,120,000","2,610,170,000","3,221"
31,미분류,Nintendo,"8,020,000","2,727,120,000","5,143"
32,미분류,BBC Radio 1,"7,590,000","3,193,350,000","4,414"
33,TV/방송,M2,"7,490,000","5,531,130,000","14,280"
34,키즈/어린이,MariAndKids,"7,480,000","2,288,620,000",808
35,음식/요리/레시피,[햄지]Hamzy,"7,450,000","2,148,700,000",331
36,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,"7,350,000","443,910,000",741
37,키즈/어린이,SonicToy소닉토이,"7,170,000","2,934,780,000",164
38,음악/댄스/가수,Stray Kids,"6,950,000","1,010,790,000",464
39,음식/요리/레시피,Travel Thirsty,"6,880,000","2,897,760,000",676
40,뉴스/정치/사회,JTBC Entertainment,"6,840,000","9,715,500,000","63,970"
41,해외,Serie A,"6,830,000","2,387,360,000","20,486"
42,음악/댄스/가수,SEVENTEEN,"6,810,000","2,120,330,000",871
43,음악/댄스/가수,Sungha Jung,"6,730,000","1,871,390,000","1,263"
44,음악/댄스/가수,이지금 [IU Official],"6,630,000","926,330,000",125
45,음식/요리/레시피,문복희 Eat with Boki,"6,480,000","1,448,120,000",424
46,음악/댄스/가수,ALL THE K-POP,"6,380,000","3,885,050,000","19,505"
47,음식/요리/레시피,쏘영 Ssoyoung,"6,360,000","933,110,000",566
48,음악/댄스/가수,YG ENTERTAINMENT,"6,350,000","1,631,820,000",389
49,TV/방송,KBS Kpop,"6,260,000","4,710,370,000","29,013"
50,음악/댄스/가수,GOT7,"6,040,000","754,270,000",579
51,음악/댄스/가수,MAMAMOO,"6,020,000","1,614,050,000",600
52,패션/미용,PONY Syndrome,"5,860,000","354,790,000",188
53,TV/방송,스브스케이팝 / SBS KPOP,"5,820,000","3,853,630,000","25,785"
54,회사/오피셜,Samsung,"5,780,000","1,012,110,000","1,554"
55,TV/방송,tvN DRAMA,"5,770,000","5,494,060,000","34,868"
56,TV/방송,SBS Entertainment,"5,720,000","6,664,750,000","216,725"
57,키즈/어린이,스위트티비 SweetTV,"5,600,000","2,652,210,000",503
58,음악/댄스/가수,ITZY,"5,540,000","960,950,000",421
59,TV/방송,SBS Drama,"5,480,000","5,750,870,000","340,878"
60,미분류,PSG - Paris Saint-Germain,"5,420,000","566,460,000","4,067"
61,키즈/어린이,[장난감티비]TOYTV,"5,420,000","2,635,970,000","1,466"
62,키즈/어린이,미니특공대TV,"5,370,000","3,017,180,000","1,105"
63,음악/댄스/가수,2NE1,"5,300,000","1,947,080,000",321
64,키즈/어린이,콩순이 • 시크릿 쥬쥬 [Kongsuni • Secret Jouju],"5,160,000","4,482,530,000","1,236"
65,BJ/인물/연예인,[Awesome Haeun]어썸하은,"5,150,000","797,260,000",487
66,음식/요리/레시피,백종원의 요리비책 Paik's Cuisine,"5,120,000","522,720,000",334
67,키즈/어린이,ToyMart TV,"4,950,000","2,148,530,000",651
68,음식/요리/레시피,야미보이 Yummyboy,"4,870,000","1,722,450,000",849
69,음악/댄스/가수,starshipTV,"4,790,000","2,765,660,000","1,955"
70,키즈/어린이,베이비버스 -인기 동요・동화,"4,740,000","3,168,870,000","1,282"
71,음악/댄스/가수,BT21,"4,600,000","362,480,000",193
72,뉴스/정치/사회,SBS NOW / SBS 공식 채널,"4,570,000","4,533,410,000","19,841"
73,키즈/어린이,TOY GUMA,"4,570,000","1,514,240,000",306
74,TV/방송,KBS Entertain,"4,470,000","7,049,340,000","99,926"
75,음식/요리/레시피,떵개떵,"4,470,000","2,504,860,000","4,330"
76,음악/댄스/가수,ASTRO 아스트로,"4,410,000","412,480,000",433
77,키즈/어린이,뽀로로(Pororo),"4,370,000","5,870,670,000","3,595"
78,음악/댄스/가수,Red Velvet,"4,340,000","592,560,000",139
79,TV/방송,MBCdrama,"4,330,000","4,898,830,000","53,924"
80,음식/요리/레시피,하루한끼 one meal a day,"4,310,000","410,590,000",162
81,음악/댄스/가수,TREASURE (트레저),"4,270,000","829,230,000",253
82,음식/요리/레시피,푸메Fume,"4,240,000","856,340,000",463
83,키즈/어린이,슈슈토이 Shushu ToysReview,"4,200,000","1,554,980,000",581
84,TV/방송,채널 NCT DAILY,"4,190,000","724,120,000",467
85,음악/댄스/가수,Raon Lee,"4,190,000","916,950,000",295
86,미분류,EA SPORTS FIFA,"4,180,000","793,400,000",792
87,키즈/어린이,With Kids Playground [위드키즈 놀이터],"4,160,000","1,568,570,000",399
88,음식/요리/레시피,Cooking tree 쿠킹트리,"4,160,000","378,570,000","1,133"
89,음식/요리/레시피,[Dorothy]도로시,"4,150,000","986,590,000",905
90,TV/방송,JTBC Drama,"4,120,000","4,209,790,000","22,560"
91,애완/반려동물,SBS TV동물농장x애니멀봐,"4,120,000","3,749,110,000","3,002"
92,음식/요리/레시피,tzuyang쯔양,"4,110,000","507,270,000",236
93,음악/댄스/가수,NCT,"4,100,000","270,620,000",218
94,BJ/인물/연예인,영국남자 Korean Englishman,"4,100,000","1,335,180,000",432
95,음식/요리/레시피,까니짱 [ G-NI ],"4,080,000","1,034,710,000",482
96,키즈/어린이,로미유 스토리[Romiyu Story],"4,080,000","1,066,210,000",433
97,음악/댄스/가수,NCT DREAM,"3,870,000","376,150,000",229
98,BJ/인물/연예인,허팝Heopop,"3,810,000","3,138,920,000","1,847"
99,취미/라이프,JaeYeol ASMR 재열,"3,800,000","1,011,540,000",970
100,애완/반려동물,크림히어로즈,"3,800,000","1,374,770,000",940
101,BJ/인물/연예인,워크맨-Workman,"3,790,000","683,190,000",141
102,BJ/인물/연예인,waveya 2011,"3,730,000","1,346,280,000",702
103,키즈/어린이,Lime Tube[라임튜브],"3,730,000","2,595,420,000","1,723"
104,음악/댄스/가수,WINNER,"3,730,000","1,171,260,000",428
105,키즈/어린이,CoCosToy 꼬꼬스토이,"3,650,000","2,051,980,000",780
106,음악/댄스/가수,백현 Baekhyun,"3,620,000","49,460,000",20
107,키즈/어린이,Milana FamilyShow[EN],"3,620,000","976,470,000",185
108,음악/댄스/가수,NCT 127,"3,570,000","303,910,000",185
109,BJ/인물/연예인,ARTBEAT,"3,560,000","873,900,000","1,069"
110,TV/방송,TV-People,"3,500,000","3,914,070,000","17,719"
111,TV/방송,채널 십오야,"3,490,000","650,630,000",451
112,TV/방송,KBS Drama,"3,470,000","4,261,110,000","114,095"
113,회사/오피셜,Billboard,"3,360,000","1,126,010,000","6,654"
114,키즈/어린이,리월드RIWORLD,"3,330,000","1,300,190,000",179
115,취미/라이프,drawholic,"3,320,000","362,520,000",348
116,키즈/어린이,제이제이 튜브 [JJ Tube],"3,290,000","2,060,280,000",497
117,음악/댄스/가수,KARD,"3,280,000","596,470,000",312
118,TV/방송,솔라시도 solarsido,"3,280,000","201,280,000",246
119,키즈/어린이,EBS 키즈,"3,280,000","4,065,870,000","18,883"
120,TV/방송,tvN,"3,260,000","4,677,550,000","59,409"
121,TV/방송,딩고 뮤직 / dingo music,"3,230,000","1,168,960,000","1,526"
122,음악/댄스/가수,(G)I-DLE (여자)아이들 (Official YouTube Channel),"3,210,000","954,190,000",199
123,키즈/어린이,MariAndToys,"3,160,000","565,350,000",188
124,키즈/어린이,럭키강이 LuckyKang i,"3,110,000","1,328,760,000","1,212"
125,키즈/어린이,키즈팡TV,"3,090,000","1,924,630,000","1,833"
126,음악/댄스/가수,imlisarhee,"3,080,000","423,180,000",547
127,스포츠/운동,피지컬갤러리,"3,060,000","484,720,000",592
128,키즈/어린이,카 로봇 Car Robot,"3,010,000","1,770,000,000","3,519"
129,음식/요리/레시피,FRAN,"2,970,000","939,540,000","1,271"
130,음식/요리/레시피,유디티TV,"2,950,000","594,930,000",992
131,취미/라이프,사나고 Sanago,"2,940,000","374,490,000",140
132,영화/만화/애니,장삐쭈,"2,940,000","1,299,750,000",365
133,취미/라이프,Thankyou BUBU,"2,930,000","459,890,000",134
134,TV/방송,tvN D ENT,"2,920,000","5,160,560,000","14,702"
135,음악/댄스/가수,ROSÉ Official,"2,910,000","11,800,000",3
136,음악/댄스/가수,새송 Saesong,"2,900,000","285,660,000",247
137,음식/요리/레시피,5 분 Tricks,"2,890,000","1,019,240,000","3,083"
138,음식/요리/레시피,양수빈,"2,840,000","499,490,000",224
139,TV/방송,옛드 : 옛날 드라마 [드라맛집],"2,800,000","4,960,030,000","45,915"
140,취미/라이프,odg,"2,740,000","441,000,000",113
141,키즈/어린이,미니팡TV,"2,740,000","1,987,040,000",557
142,음식/요리/레시피,한세HANSE,"2,740,000","375,500,000",569
143,음악/댄스/가수,STUDIO CHOOM [스튜디오 춤],"2,720,000","997,980,000",618
144,TV/방송,JTBC Voyage,"2,700,000","3,045,950,000","6,835"
145,취미/라이프,팬케이Pan K The Pancake Artist,"2,680,000","790,970,000",541
146,키즈/어린이,헤이지니 Hey Jini,"2,640,000","1,624,820,000","1,149"
147,음악/댄스/가수,JAY PARK,"2,630,000","648,070,000",137
148,음식/요리/레시피,나도Nado,"2,610,000","668,680,000",681
149,TV/방송,PLAYLIST ORIGINALS 플레이리스트 오리지널,"2,570,000","957,360,000",659
150,뉴스/정치/사회,TVCHOSUN - TV조선,"2,560,000","4,199,500,000","64,268"
151,TV/방송,런닝맨 - 스브스 공식 채널,"2,540,000","3,260,400,000","53,502"
152,음악/댄스/가수,HyunA,"2,520,000","301,800,000",58
153,음악/댄스/가수,AKMU,"2,520,000","618,410,000",148
154,뉴스/정치/사회,YTN news,"2,500,000","5,462,390,000","553,462"
155,취미/라이프,ASMR PPOMO,"2,500,000","660,860,000",421
156,키즈/어린이,ToyFamily,"2,470,000","360,000",38
157,음악/댄스/가수,GIRLS' GENERATION,"2,440,000","142,410,000",75
158,키즈/어린이,보라미TV BoramiTV,"2,410,000","827,720,000",594
159,음식/요리/레시피,지현꿍,"2,400,000","194,570,000",80
160,게임,도티 TV,"2,380,000","2,665,680,000","3,238"
161,미분류,Lizzo Music,"2,350,000","927,230,000",71
162,BJ/인물/연예인,와썹맨-Wassup Man,"2,340,000","310,890,000",177
163,음악/댄스/가수,United CUBE (CUBE Entertainment Official YouTube Channel),"2,330,000","716,520,000","1,556"
164,TV/방송,ATEEZ,"2,310,000","225,870,000",304
